Word; Occurrence
 ETTÄ EI ; 1
 JA EI EI EI ON EI ON JA EI OLE ON SE JA ON ETTÄ ; 2
 OLI ON TÄMÄ ON JA JA ETTÄ ON ETTÄ ETTÄ JA JA JA JA ON JA ON ON ON JA JA ON ON JA JA ON SE ON JA ON ON JOKA JA JA EI OLE ON ETTÄ EI OLE HÄN JA ON EI EI OLE ETTÄ JA JA JA ON JOKA ON ETTÄ ON ON JA ON JA ON ETTÄ JA JA ON EI OLE SE OLI ON EI SE ETTÄ EI EI OLLA OLLA JA EI OLE JA JA ON EI OLE SE OLI ON HÄN OLI JA JA ETTÄ ON OLLA EI JA ON ETTÄ JOKA JA ETTÄ ON JA ON JA JA ON JA JOKA OLI ; 1
 JA ; 3
 JA JA JA JA ON ; 1
 JA OLI ON JA OLLA OLI JA OLI JA SE ON JA HÄN JA OLI OLI OLI JA JOTKA HÄN JA ON EI JA JA OLI JA JA JA JA ETTÄ ON JA SE ON JA HÄN JA ON ON ON JA JA JA JA JA JA JA JA JA ON ON JA ON ETTÄ JA ETTÄ ON ON JA ON JA LUE SE ON ON JA JOTKA ON OLE HÄN ON OLI ETTÄ JA ON ON ETTÄ OLE JA ON ON JA JA OLLA JA ETTÄ HÄN OLI JOTKA HÄN EI EI JA ON ETTÄ ON JA JA ON ON JA OLI ON OLLA ON ETTÄ ON OLE ON JA ON JA ON JA ON JOKA ON JA OLLA ETTÄ JOKA EI ON ON EI JA SE JA ON ON JA JA JA JA ON ON JA ON JA ON OLI JA JOTKA OLI JA ETTÄ JA ON JA ON ON OLLA JA SE ON JA ON JA ETTÄ ON ETTÄ HÄN SE ETTÄ ON JA ON JA JA JA JA ON ON JA JA OLI SE EI JA OLI JA JA JA ON JA ON ON ON JA ON ON JOKA ON JA JA JA JA JA JA JA JA JA SE ETTÄ ETTÄ ON JA ON JA JA JA ON OLE JA JA JA ON JA JA ON JA ON JA JA ON JA JA JA JA ON JA JA ON SE OLLA JA ON ON JA ON JA JA JA JA JA JA JA JA ON SE JA JA TÄSTÄ ON JA ON JA JA JA ON JA JOKA JA JA JA JA JA ON JA JA ON JA JA JA ON ON JOKA EI JA JA JA JOTKA JA JA TÄMÄ JA ON JA JA JOKA JA ON JA JA EI OLLA TÄMÄ OLI JA JA OLI OLI ETTÄ SE JA JA OLI JOKA OLI JA JA ON JA ON JA OLI SE ETTÄ JA JA OLI SE ETTÄ OLI JA JA JA OLI JA ETTÄ OLI JA OLI JA JA OLI ON OLI ETTÄ ON ETTÄ ETTÄ LISÄÄ ON JA SE ON ETTÄ JA JA JA ON ETTÄ ON JA ON ON ON JA JA ON ON JOKA JA ON JA JA OLI JA SE ETTÄ ON ON JOKA ON ON JA JA ON JA ETTÄ JA JA JA JA ON SE ETTÄ JA JA ON ON JA JA EI OLE ON JA ON ON JA JA JA JA EI ON JA EI JA EI ON ON JA JOTKA ON JA EI OLE JA JA EI ON ON ON ON ON ON ON EI SE SE ON JA JA TÄSTÄ ON ON JA EI ON JA SE ON ON OLLA JA JA ON ON JA OLLA JA JA JA ON ON JA ON ; 1
 JOKA ON ON ON JA JA JA EI ETTÄ JOKA EI HÄN EI KATSO EI JA JA ON OLLA ; 1
 ON JA JA EI OLE ON JA ON OLLA ON ON ON JA JA ON JA JA JA ETTÄ JA JA OLI JA JA JA JA JA ON JA JA JA KATSO JA JA JA KATSO JA TÄSTÄ ON ; 1
 ETTÄ ON JA OLI EI HÄN JA JA JA JA JA JA JA ; 1
 JA JA JA JA JA HÄN JA JA ON JA JA JA OLI JOTKA ; 1
 JA SE ON ON ON ON OLLA JA JA ON TÄSTÄ JA ETTÄ OLE ON SE JOKA JA HÄN JA JA EI ON OLI ETTÄ OLI ON JA JA ON ; 1
 ; 1
